stream,phase_id,phase_label,day_archetype,current_window,n_observations,top_next_window,pct_up_next,pct_down_next,pct_flat_next,low_confidence_flag,expectancy_raw,expectancy_shrunk,expectancy_shrunk_var,win_rate_raw,win_rate_shrunk,win_rate_shrunk_var
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,europe_midday,3,us_pre_open,66.66666666666666,33.33333333333333,0.0,True,0.33333333333333326,0.07294286740927056,0.1288890345418618,0.6666666666666665,0.4132231404958677,0.04470693325591572
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,global_reopen_pre_mcx,3,mcx_open_drive,0.0,33.33333333333333,66.66666666666666,True,-0.33333333333333326,-0.014013654329859855,0.1288890345418618,0.0,0.32626661875673735,0.04470693325591572
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,india_midday,3,europe_midday,0.0,66.66666666666666,33.33333333333333,True,-0.6666666666666665,-0.05749191519942506,0.1288890345418618,0.0,0.32626661875673735,0.04470693325591572
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,india_morning,3,india_midday,33.33333333333333,66.66666666666666,0.0,True,-0.33333333333333326,-0.014013654329859855,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,mcx_open_drive,3,india_morning,66.66666666666666,33.33333333333333,0.0,True,0.33333333333333326,0.07294286740927056,0.1288890345418618,0.6666666666666665,0.4132231404958677,0.04470693325591572
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,mcx_tail,3,other_valid_hours,33.33333333333333,33.33333333333333,33.33333333333333,True,0.0,0.02946460653970535,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,us_open,6,mcx_tail,66.66666666666666,16.666666666666664,16.666666666666664,False,0.49999999999999994,0.1414494596312778,0.11401722286395466,0.6666666666666665,0.4424666242848061,0.03954844095715621
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,mixed_regime,us_pre_open,3,us_open,33.33333333333333,33.33333333333333,33.33333333333333,True,0.0,0.02946460653970535,0.1288890345418618,0.33333333333333326,0.36974487962630254,0.04470693325591572
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,europe_midday,4,us_pre_open,50.0,50.0,0.0,True,0.0,0.02823691460055096,0.12351865810261756,0.5,0.39600550964187325,0.042844144370252565
BRENT_session,7.0,sustained_major_reescalation_hormuz_war,whipsaw_two_sided,global_reopen_pre_mcx,4,mcx_open_drive,0.0,50.0,50.0,True,-0.5,-0.055096418732782364,0.12351865810261756,0.0,0.31267217630853994,0.042844144370252565
